infeatures,outfeatures,weight_type,batch_size,seq_len,tput,num_tokens
4096,1024,fp16,8,1,291534.7191155139,8
4096,1024,fp16,16,1,577939.2845174946,16
4096,1024,fp16,32,1,1265689.2015263212,32
4096,1024,fp16,48,1,1762425.2392970275,48
4096,1024,fp16,64,1,2218586.1905573765,64
4096,1024,fp16,1,16,578572.3697985235,16
4096,1024,fp16,1,64,2210203.549764099,64
4096,1024,fp16,1,128,3938224.7602096973,128
4096,1024,fp16,1,256,5646050.671360356,256
4096,1024,fp16,1,512,5677460.287520045,512
4096,1024,fp16,1,1024,6323150.796412755,1024
4096,1024,fp16,1,2048,7487912.815877565,2048
4096,1024,fp16,1,4096,7804108.315059872,4096
4096,1024,fp16,1,8192,7537984.7535659345,8192
4096,1024,marlin,1,1,54882.9286759534,1
4096,1024,marlin,4,1,223712.49794145185,4
4096,1024,marlin,8,1,347959.5218686973,8
4096,1024,marlin,16,1,682669.3230705842,16
4096,1024,marlin,32,1,1053588.8371859847,32
4096,1024,marlin,48,1,1275342.5747517631,48
4096,1024,marlin,64,1,1419626.5140110252,64
4096,1024,marlin,1,16,840986.8833921176,16
4096,1024,marlin,1,64,1393141.234842249,64
4096,1024,marlin,1,128,1402455.438706055,128
4096,1024,marlin,1,256,1403918.7100359462,256
4096,1024,marlin,1,512,1363621.2977033618,512
4096,1024,marlin,1,1024,1358043.0396100518,1024
4096,1024,marlin,1,2048,1358286.9589427062,2048
4096,1024,marlin,1,4096,1358182.0831762566,4096
4096,1024,marlin,1,8192,1357660.6488112244,8192
5120,5120,fp16,1,1,8715.812621560786,1
5120,5120,fp16,4,1,33860.377215361164,4
5120,5120,fp16,8,1,67631.49892663519,8
5120,5120,fp16,16,1,134900.42844239276,16
5120,5120,fp16,32,1,267514.3105044276,32
5120,5120,fp16,48,1,343272.6550357286,48
5120,5120,fp16,64,1,531707.8775387375,64
5120,5120,fp16,1,16,134918.28134564444,16
5120,5120,fp16,1,64,533846.0969597623,64
5120,5120,fp16,1,128,991894.7783095569,128
5120,5120,fp16,1,256,986216.5071131631,256
5120,5120,fp16,1,512,1290798.7188194557,512
5120,5120,fp16,1,1024,1158212.4900820877,1024
5120,5120,fp16,1,2048,1296888.526576806,2048
5120,5120,fp16,1,4096,1258963.8549202469,4096
5120,5120,fp16,1,8192,1269922.7037921858,8192
5120,5120,marlin,1,1,31673.125841163375,1
5120,5120,marlin,4,1,126460.72211401864,4
5120,5120,marlin,8,1,253452.35050187967,8
5120,5120,marlin,16,1,504308.6205873083,16
5120,5120,marlin,32,1,856999.377849272,32
5120,5120,marlin,48,1,936374.5418097541,48
5120,5120,marlin,64,1,981699.7921140295,64
5120,5120,marlin,1,16,503620.71819725155,16
5120,5120,marlin,1,64,982473.0039698592,64
5120,5120,marlin,1,128,981870.3018368699,128
5120,5120,marlin,1,256,971956.2562458966,256
5120,5120,marlin,1,512,971830.175584474,512
5120,5120,marlin,1,1024,972148.4952918811,1024
5120,5120,marlin,1,2048,972188.7086904829,2048
5120,5120,marlin,1,4096,972297.7478578979,4096
5120,5120,marlin,1,8192,972384.3263211335,8192
5120,1024,fp16,1,1,39110.71036718012,1
5120,1024,fp16,4,1,129554.2287085251,4
5120,1024,fp16,8,1,258527.07109688455,8
5120,1024,fp16,16,1,509819.4085825993,16
5120,1024,fp16,32,1,1025925.2102115235,32
5120,1024,fp16,48,1,1488193.8835332778,48
5120,1024,fp16,64,1,1890740.5442849526,64
5120,1024,fp16,1,16,512267.85461585346,16
5120,1024,fp16,1,64,1889778.2132669804,64
5120,1024,fp16,1,128,2989505.0622201758,128
5120,1024,fp16,1,256,4956679.108629237,256
5120,1024,fp16,1,512,4939269.034289778,512
5120,1024,fp16,1,1024,5100225.787099095,1024
5120,1024,fp16,1,2048,6051317.238495859,2048
5120,1024,fp16,1,4096,6266973.183061045,4096
5120,1024,fp16,1,8192,6423675.792055633,8192
5120,1024,marlin,1,1,53416.57573071907,1
5120,1024,marlin,4,1,213341.08984669216,4
5120,1024,marlin,8,1,426848.1010136906,8
5120,1024,marlin,16,1,862543.4713170261,16
5120,1024,marlin,32,1,850121.3210792996,32
5120,1024,marlin,48,1,993152.6593330766,48
5120,1024,marlin,64,1,1081250.5068243942,64
5120,1024,marlin,1,16,842750.7658902708,16
5120,1024,marlin,1,64,1064326.425715177,64
5120,1024,marlin,1,128,1068974.1721319256,128
5120,1024,marlin,1,256,1069742.0457874506,256
5120,1024,marlin,1,512,1048034.6649094585,512
5120,1024,marlin,1,1024,1049028.946328538,1024
5120,1024,marlin,1,2048,1048951.9465256492,2048
5120,1024,marlin,1,4096,1048737.7766451088,4096
5120,1024,marlin,1,8192,1049131.9933582058,8192
7168,1024,fp16,1,1,29549.695819978297,1
7168,1024,fp16,4,1,99840.44623083445,4
7168,1024,fp16,8,1,196952.81207075363,8
7168,1024,fp16,16,1,391096.5119128916,16
7168,1024,fp16,32,1,789537.4055943716,32
