infeatures,outfeatures,weight_type,batch_size,seq_len,tput,num_tokens
5120,5120,marlin,48,1,1035141.9611218849,48
5120,5120,marlin,64,1,1239811.8101019452,64
5120,5120,marlin,1,16,308843.64129877405,16
5120,5120,marlin,1,64,1250819.8488797396,64
5120,5120,marlin,1,128,1538047.7996490377,128
5120,5120,marlin,1,256,1749310.984934691,256
5120,5120,marlin,1,512,1903992.2824588674,512
5120,5120,marlin,1,1024,1955756.0837802743,1024
5120,5120,marlin,1,2048,1973808.6977527554,2048
5120,5120,marlin,1,4096,1954940.7053175382,4096
5120,5120,marlin,1,8192,1912948.4657619535,8192
5120,1024,fp16,1,1,65849.2101766349,1
5120,1024,fp16,4,1,199175.56255293314,4
5120,1024,fp16,8,1,397189.46551368496,8
5120,1024,fp16,16,1,794540.9869545249,16
5120,1024,fp16,32,1,1700470.6323944614,32
5120,1024,fp16,48,1,2340534.6904682396,48
5120,1024,fp16,64,1,2797522.6783144325,64
5120,1024,fp16,1,16,772971.5051437381,16
5120,1024,fp16,1,64,3212399.701844545,64
5120,1024,fp16,1,128,6488700.535280413,128
5120,1024,fp16,1,256,10698296.169384453,256
5120,1024,fp16,1,512,14710836.947313556,512
5120,1024,fp16,1,1024,18163755.688528415,1024
5120,1024,fp16,1,2048,20103398.608768165,2048
5120,1024,fp16,1,4096,23019888.199617743,4096
5120,1024,fp16,1,8192,25599728.884997766,8192
5120,1024,marlin,1,1,20842.647956232635,1
5120,1024,marlin,4,1,83478.66133357381,4
5120,1024,marlin,8,1,168088.28560030565,8
5120,1024,marlin,16,1,335501.4372891297,16
5120,1024,marlin,32,1,655623.4719347595,32
5120,1024,marlin,48,1,1005457.4828724703,48
5120,1024,marlin,64,1,1382513.9573987995,64
5120,1024,marlin,1,16,335285.4139294437,16
5120,1024,marlin,1,64,1395743.8140325176,64
5120,1024,marlin,1,128,1623205.1787622366,128
5120,1024,marlin,1,256,1758692.592501508,256
5120,1024,marlin,1,512,1846436.5128608013,512
5120,1024,marlin,1,1024,1757411.5653310756,1024
5120,1024,marlin,1,2048,1807369.3976306317,2048
5120,1024,marlin,1,4096,1823383.0304166446,4096
5120,1024,marlin,1,8192,1843798.3794632922,8192
7168,1024,fp16,1,1,65820.75890873472,1
7168,1024,fp16,4,1,196273.0235652392,4
7168,1024,fp16,8,1,393609.5985625268,8
7168,1024,fp16,16,1,778231.1281657141,16
7168,1024,fp16,32,1,1608445.3676477005,32
7168,1024,fp16,48,1,2482381.491274926,48
7168,1024,fp16,64,1,3238115.026197833,64
7168,1024,fp16,1,16,759136.0486108826,16
7168,1024,fp16,1,64,3251328.724528733,64
7168,1024,fp16,1,128,6030621.136923921,128
7168,1024,fp16,1,256,9257699.567835663,256
7168,1024,fp16,1,512,11730711.887216784,512
7168,1024,fp16,1,1024,13168499.214334266,1024
7168,1024,fp16,1,2048,14750626.43701068,2048
7168,1024,fp16,1,4096,17196656.118030492,4096
7168,1024,fp16,1,8192,18581568.652845208,8192
7168,1024,marlin,1,1,16267.244936530005,1
7168,1024,marlin,4,1,65187.59023264787,4
7168,1024,marlin,8,1,125796.2458127333,8
7168,1024,marlin,16,1,261657.27219793262,16
7168,1024,marlin,32,1,520045.75097411865,32
7168,1024,marlin,48,1,778885.8735002932,48
7168,1024,marlin,64,1,1090663.6333382372,64
7168,1024,marlin,1,16,261607.64564673073,16
7168,1024,marlin,1,64,1093527.530194845,64
7168,1024,marlin,1,128,1228712.708266002,128
7168,1024,marlin,1,256,1308679.923401227,256
